method_name,avg_iter,min_iter,max_iter,median_iter,std_iter,runs,wins
Bisection,41.5625,1,52,47.0,15.140890705207008,480000,3
False Position,938.8125,1,10000,18.0,2784.5038556367135,480000,4
Trisection,235.08333333333334,1,10000,29.0,1424.3830722557595,480000,4
HybridBlendTF,5.895833333333333,1,10,7.0,2.686695183754894,480000,0
HybridBlendBF,7.125,1,14,8.0,3.2699740992637336,480000,0
QIR,6.375,1,31,5.0,5.89712761578932,480000,3
Brent (SciPy),8.979166666666666,1,33,8.5,4.88829715624383,480000,0
Opt.BF,6.6875,1,12,7.0,2.8950868515785313,480000,0
Opt.BFMS,2.7916666666666665,1,6,3.0,1.171864646561741,480000,23
Opt.TF,5.291666666666667,1,9,6.0,2.3625428780392292,480000,0
Opt.TFMS,2.4375,1,5,2.0,1.0187063260194493,480000,11
